filename,z_score of walker,accuracy,operation
HCTSA_DistalPhalanxTW_N.mat,2.27786473693786,49.5040400218384,2638
HCTSA_Yoga_N.mat,2.29487821153648,60.9754071119973,2641
HCTSA_Lightning7_N.mat,2.34679658035679,42.576577680514,2638
HCTSA_Herring_N.mat,2.37718553680296,62.8596893302776,2638
HCTSA_FacesUCR_N.mat,2.39268718889885,22.8546069577835,2643
HCTSA_FaceAll_N.mat,2.40641049216124,22.8546069577835,2646
HCTSA_CricketY_N.mat,2.42738354918157,20.6410256410256,2647
HCTSA_Strawberry_N.mat,2.44016109944625,74.1741498070612,2648
HCTSA_Computers_N.mat,2.47341268175089,71.6,2649
HCTSA_ItalyPowerDemand_N.mat,2.5068314727916,80.0016982847324,2641
HCTSA_Ham_N.mat,2.56452023308275,65.162249628269,2654
HCTSA_Plane_N.mat,2.58645282571258,84.2857142857143,2650
HCTSA_Coffee_N.mat,2.66526571470474,96.4240102171137,2653 2654
HCTSA_SwedishLeaf_N.mat,2.73001061479432,39.4666666666667,2646
HCTSA_UWaveGestureLibraryY_N.mat,2.73143387124169,32.6552916560184,2642
HCTSA_ChlorineConcentration_N.mat,2.7887618683852,38.7229591099552,2649
HCTSA_EthanolLevel_N.mat,2.80349161242991,32.6698412698413,2643
HCTSA_HandOutlines_N.mat,2.99607192121182,73.5965367965368,2647
HCTSA_LargeKitchenAppliances_N.mat,3.23652738614431,64.8,2638
HCTSA_TwoLeadECG_N.mat,3.30888138238236,91.7383820998279,2647
HCTSA_MoteStrain_N.mat,4.50427655049867,89.9621979880377,2644
